"020040210028";0;3;"2021-08-22";0;"1815";3;0;4;2;1;2;204;0;0;0;2500;2;3;01;4;3;1;3;3;0;0;00;1;02;00;;3;04;"19";9;1;1;0;1;1;1500;3;1;1;"-734619,186";"-1115888,424";"-734619,186";"-1115888,424";"-734614,167";"-1115887,396";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"020040210029";0;3;"2021-08-24";2;"0620";3;0;9;2;1;2;508;0;0;0;1250;2;3;01;4;3;1;3;3;0;0;00;1;01;00;;3;26;"19";1;0;1;0;1;3;800;3;2;1;"-732308,353";"-1134029,955";"-732308,353";"-1134029,955";"-732315,784";"-1134029,376";"";"";"";"dálnice";"D3";"2604613";"";"Souhlasnısesmìremúseku";"Pomalı";"599263";"";"GN_V0.1UIR-ADR_410";"2"
"020040210030";0;3;"2021-08-25";3;"0750";3;0;4;2;1;2;203;0;0;0;800;2;1;01;1;1;1;5;1;0;0;05;1;01;00;;3;44;"19";1;1;1;1;1;1;500;4;1;1;"-733827,234";"-1141224,664";"-733827,234";"-1141224,664";"-733827,149";"-1141219,6";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"020040210031";0;3;"2021-08-26";4;"1508";1;2;0;2;1;2;204;0;0;0;20000;2;3;01;1;1;1;3;1;0;0;05;3;02;00;;3;13;"17";1;1;1;1;1;1;1500;2;1;1;"-732307,845";"-1133825,264";"-732307,845";"-1133825,264";"-732304,267";"-1133825,8";"";"";"";"dálnice";"D3";"2604600";"";"Souhlasnısesmìremúseku";"Pomalı";"552721";"";"GN_V0.1UIR-ADR_410";"2"
"020040210032";0;3;"2021-09-12";0;"1540";1;4;0;1;1;9;508;0;0;1;2000;2;1;01;1;1;1;3;1;0;0;00;1;02;00;;3;48;"15";1;0;1;0;1;1;1000;2;5;1;"-734597,274";"-1110154,024";"-734597,274";"-1110154,024";"-734596,672";"-1110154,315";"";"";"";"dálnice";"D3";"1310561";"";"Souhlasnısesmìremúseku";"Pomalı";"553174";"";"GN_V0.1UIR-ADR_410";"2"
"020040210033";0;3;"2021-09-13";1;"1600";3;0;4;2;1;2;508;0;0;0;600;2;1;01;1;1;1;3;3;0;0;00;1;01;00;;3;31;"15";1;1;1;0;1;1;200;2;1;1;"-733612,412";"-1139682,994";"-733612,412";"-1139682,994";"-733612,549";"-1139682,971";"";"";"";"dálnice";"D3";"2604668";"";"Souhlasnısesmìremúseku";"Pomalı";"553131";"";"GN_V0.1UIR-ADR_410";"2"
"020040210034";0;3;"2021-09-13";1;"1840";1;2;0;2;1;2;411;0;0;0;600;2;1;01;1;1;1;3;1;3;5;00;1;02;00;;3;47;"02";9;0;1;0;1;1;400;2;1;1;"-732265,099";"-1120005,899";"-732265,099";"-1120005,899";"-732268,46";"-1120007,57";"";"";"";"dálnice";"D3";"3665623";"";"Souhlasnısesmìremúseku";"Pomalı";"552046";"";"GN_V0.1UIR-ADR_410";"2"
"020040210035";0;3;"2021-09-17";5;"0500";3;0;4;2;1;2;508;0;0;0;2350;2;1;01;1;6;1;3;3;0;0;00;2;01;00;;3;39;"18";1;1;1;0;1;3;2000;2;1;1;"-733613,835";"-1107488,295";"-733613,835";"-1107488,295";"-733622,324";"-1107491,134";"";"";"";"dálnice";"D3";"2164720";"";"Souhlasnısesmìremúseku";"Pomalı";"552747";"";"GN_V0.1UIR-ADR_410";"2"
"020040210036";0;3;"2021-09-24";5;"0802";3;0;3;2;1;2;508;0;0;0;600;2;1;01;1;1;1;3;1;0;0;00;1;01;00;;3;32;"15";3;0;1;0;1;1;500;2;1;1;"-732252,08";"-1120030,079";"-732273,565";"-1119997,851";"-732273,292";"-1119997,724";"";"";"";"dálnice";"D3";"3665623";"";"Souhlasnısesmìremúseku";"Pomalı";"552046";"";"GN_V0.1UIR-ADR_410";"2"
"020040210037";0;3;"2021-10-06";3;"0425";3;0;4;2;1;2;511;0;0;0;250;2;3;01;3;6;1;3;1;0;0;00;1;01;00;;5;62;"20";3;0;1;0;1;3;0;3;1;5;"-731620,463";"-1121615,348";"-731620,463";"-1121615,348";"-731625,076";"-1121616,755";"";"";"";"dálnice";"D3";"3531913";"";"Souhlasnısesmìremúseku";"Pomalı";"552046";"";"GN_V0.1UIR-ADR_410";"2"
"020040210038";0;3;"2021-10-09";6;"1535";3;0;9;2;1;2;508;0;0;0;800;2;1;01;1;1;1;3;8;0;0;00;1;01;00;;5;62;"16";3;0;1;0;1;1;500;3;2;1;"-737812,601";"-1145405,429";"-737812,601";"-1145405,429";"-737809,724";"-1145406,574";"";"";"";"dálnice";"D3";"3739940";"";"Souhlasnısesmìremúseku";"Pomalı";"553271";"";"GN_V0.1UIR-ADR_410";"2"
"020040210039";0;3;"2021-10-10";0;"2560";9;0;0;2;1;0;508;0;0;0;300;2;1;01;1;6;1;3;8;0;0;00;3;01;00;;3;26;"09";3;0;3;0;1;1;300;2;2;1;"-738137,641";"-1145950,609";"-738137,641";"-1145950,609";"-738139,452";"-1145947,27";"";"";"";"dálnice";"D3";"3669574";"";"Souhlasnısesmìremúseku";"Pomalı";"553271";"";"GN_V0.1UIR-ADR_410";"2"
"020040210040";0;3;"2021-10-12";2;"0830";3;0;3;2;1;2;508;0;0;0;2900;2;3;01;4;1;1;3;1;0;0;00;1;01;00;;3;39;"17";3;0;1;1;1;1;2500;2;2;1;"-732215,67";"-1120097,778";"-732215,67";"-1120097,778";"-732210,782";"-1120095,347";"";"";"";"dálnice";"D3";"3665835";"";"Souhlasnısesmìremúseku";"Pomalı";"552046";"";"GN_V0.1UIR-ADR_410";"2"
"020040210041";0;3;"2021-10-15";5;"0510";3;0;1;2;1;2;205;0;0;0;550;2;3;01;1;6;1;3;3;3;5;00;5;01;19;9;3;38;"21";1;1;1;0;1;12;400;2;1;1;"-738074,105";"-1145918,959";"-738074,105";"-1145918,959";"-738075,178";"-1145916,575";"";"";"";"dálnice";"D3";"3669574";"";"Souhlasnısesmìremúseku";"Pomalı";"553271";"";"GN_V0.1UIR-ADR_410";"2"
"020040210042";0;3;"2021-10-17";0;"0900";3;0;4;2;1;2;511;0;0;0;2000;2;1;01;1;1;1;3;3;0;0;00;1;01;00;;3;13;"20";3;0;1;0;1;3;1500;3;2;1;"-733655,25";"-1140178,582";"-733655,25";"-1140178,582";"-733651,401";"-1140178,876";"";"";"";"dálnice";"D3";"2604667";"";"Souhlasnısesmìremúseku";"Pomalı";"553131";"";"GN_V0.1UIR-ADR_410";"2"
"020040210043";0;3;"2021-10-21";4;"1235";3;0;4;2;1;2;508;0;0;0;1600;2;1;01;7;3;1;3;1;0;0;00;1;01;00;;7;35;"17";3;0;1;0;1;1;800;3;2;1;"-734761,335";"-1114450,691";"-734761,335";"-1114450,691";"-734758,747";"-1114450,404";"";"";"";"dálnice";"D3";"3070069";"";"Souhlasnısesmìremúseku";"Pomalı";"562955";"";"GN_V0.1UIR-ADR_410";"2"
"020040210044";0;3;"2021-11-24";3;"1655";3;0;5;2;7;0;608;0;0;0;20;2;1;01;1;6;1;3;1;0;0;00;1;02;00;;17;;"XX";;;;;;;0;;;;"-741248,711";"-1147700,879";"-741248,711";"-1147700,879";"-741249,428";"-1147699,827";"";"";"";"dálnice";"D3";"3820316";"";"Souhlasnısesmìremúseku";"Pomalı";"535401";"";"GN_V0.1UIR-ADR_410";"2"
"020040210045";1;3;"2021-11-28";0;"0900";9;0;0;1;1;2;204;0;0;1;500;2;6;01;5;1;1;1;1;0;0;00;3;01;00;;3;35;"03";1;1;1;1;1;1;500;2;1;1;"-735015,522";"-1110362,179";"-735015,522";"-1110362,179";"-735031,058";"-1110371,086";"";"";"";"silnice1.tøídy";"3";"3297508";"";"Opaènıkesmìruúseku";"Pomalı";"553174";"";"GN_V0.1UIR-ADR_410";"2"
"020040210046";0;3;"2021-12-09";4;"0845";2;0;0;1;1;2;202;0;0;2;2760;2;8;01;5;3;1;3;3;0;0;05;1;02;00;;3;33;"18";1;0;1;1;1;3;1000;2;1;1;"-731479,561";"-1129459,521";"-731479,561";"-1129459,521";"-731486,701";"-1129457,864";"";"";"";"dálnice";"D3";"3502886";"";"Souhlasnısesmìremúseku";"Pomalı";"552585";"";"GN_V0.1UIR-ADR_410";"2"
"020040210047";0;3;"2021-12-17";5;"0200";3;0;4;2;1;2;511;0;0;0;2900;2;3;01;1;6;1;3;8;0;0;00;1;01;00;;7;40;"18";3;0;1;0;1;1;1500;3;1;1;"-732006,515";"-1124319,048";"-731997,921";"-1124305,62";"-731997,565";"-1124305,86";"";"";"";"dálnice";"D3";"2604494";"";"Souhlasnısesmìremúseku";"Pomalı";"553069";"";"GN_V0.1UIR-ADR_410";"2"
"020040210048";0;3;"2021-12-24";5;"0120";3;0;4;2;1;2;208;0;0;0;700;2;3;01;7;6;1;3;3;0;0;00;1;01;00;;5;99;"19";3;0;0;0;1;3;600;2;1;1;"-734791,866";"-1112020,18";"-734791,866";"-1112020,18";"-734802,542";"-1112019,074";"";"";"";"dálnice";"D3";"1310600";"";"Souhlasnısesmìremúseku";"Pomalı";"552461";"";"GN_V0.1UIR-ADR_410";"2"
"020040210049";0;3;"2021-12-26";0;"1508";3;0;4;2;1;2;203;0;0;0;3000;2;3;01;1;1;1;3;3;0;0;00;1;01;00;;3;04;"12";1;1;1;0;1;3;2500;2;1;1;"-735738,83";"-1143263,373";"-735738,83";"-1143263,373";"-735735,171";"-1143266,942";"";"";"";"místníkomunikace";"";"2604751";"";"Souhlasnısesmìremúseku";"Pomalı";"563897";"";"GN_V0.1UIR-ADR_410";"2"
"020106210001";6;;"2021-01-01";5;"0630";3;0;1;1;1;2;204;0;0;1;350;2;6;01;6;5;1;1;1;3;3;00;5;01;10;6;3;02;"19";1;1;1;1;1;5;300;2;1;0;"-735804,207";"-1189651,465";"-735804,207";"-1189651,465";"-735810,62";"-1189653,778";"NovéHrady";"Vilováètvr";"";"místníkomunikace";"";"2810539";"";"Opaènıkesmìruúseku";"Pomalı";"544868";"80071";"GN_V0.1UIR-ADR_410";"1"
"020106210002";2;146;"2021-01-01";5;"1630";3;0;4;1;1;2;204;0;0;1;3550;2;5;01;6;2;3;1;1;0;0;00;3;02;00;;3;39;"20";1;1;1;0;1;1;200;2;1;1;"-756905,048";"-1157619,977";"-756905,048";"-1157619,977";"-756905,82";"-1157618,974";"HlubokánadVltavou";"Podskalí";"";"silnice2.tøídy";"146";"1307886";"";"Souhlasnısesmìremúseku";"Pomalı";"544485";"78221";"GN_V0.1UIR-ADR_410";"1"
"020106210003";6;;"2021-01-02";6;"0730";3;0;6;2;1;8;205;0;0;0;710;2;3;01;1;2;1;1;1;0;5;00;2;01;00;;3;42;"08";1;1;1;0;1;5;500;2;5;1;"-742053,598";"-1176712,679";"-742053,598";"-1176712,679";"-742054,541";"-1176711,972";"Borovany";"";"";"místníkomunikace";"";"1797867";"";"Souhlasnısesmìremúseku";"Pomalı";"544281";"";"GN_V0.1UIR-ADR_410";"1"
"020106210004";2;634;"2021-01-02";6;"1425";1;2;0;2;1;2;306;0;0;0;200;2;1;01;1;1;1;1;1;0;0;00;1;02;00;;3;47;"15";3;0;1;0;1;3;100;4;1;1;"-750600,626";"-1164654,124";"-750590,451";"-1164657,338";"-750590,124";"-1164657,602";"Rudolfov";"Tøeboòská";"";"silnice2.tøídy";"634";"3546255";"";"Opaènıkesmìruúseku";"Pomalı";"544981";"80543";"GN_V0.1UIR-ADR_410";"1"
"020106210005";6;;"2021-01-02";6;"1830";3;0;2;2;1;2;204;0;0;0;200;1;6;01;2;6;1;1;3;3;3;00;5;01;10;6;3;44;"03";1;1;1;0;1;5;100;2;1;1;"-750701,12";"-1164924,548";"-750650,781";"-1164884,384";"-750650,589";"-1164884,74";"Rudolfov";"Nastarécestì";"";"místníkomunikace";"";"644628";"";"Opaènıkesmìruúseku";"Pomalı";"544981";"80331";"GN_V0.1UIR-ADR_410";"1"
"020106210006";6;;"2021-01-03";0;"0110";2;0;0;2;1;2;204;0;0;0;2300;2;3;01;6;4;1;1;1;3;5;00;5;03;10;6;3;39;"19";1;1;1;0;1;5;1000;2;1;1;"-758424,9";"-1165182,667";"-758424,9";"-1165182,667";"-758427,105";"-1165182,834";"ÈeskéBudìjovice";"Spojovací";"";"místníkomunikace";"";"1592378";"";"Opaènıkesmìruúseku";"Pomalı";"544256";"74781";"GN_V0.1UIR-ADR_410";"1"
"020106210007";8;;"2021-01-03";0;"0315";3;0;6;2;1;2;204;0;0;0;6500;1;6;01;2;4;1;1;1;0;0;00;1;01;00;;7;40;"15";3;1;1;0;1;5;1000;3;1;1;"-757853,579";"-1157253,382";"-757853,579";"-1157253,382";"-757859,486";"-1157248,391";"HlubokánadVltavou";"";"";"místníkomunikace";"";"3280274";"";"Souhlasnısesmìremúseku";"Pomalı";"544485";"";"GN_V0.1UIR-ADR_410";"1"
